pos,team,matches,points,rating
1,Australia,19,5285,278
2,England,17,4564,268
3,India,35,9319,266
4,Pakistan,21,5470,260
5,South Africa,17,4380,258
6,New Zealand,23,5565,242
7,Sri Lanka,23,5293,230
8,Bangladesh,20,4583,229
9,West Indies,24,5499,229
10,Afghanistan,17,3882,228
11,Zimbabwe,18,3442,191
12,Ireland,29,5513,190
13,UAE,23,4288,186
14,Scotland,17,3096,182
15,Nepal,23,4148,180
16,PNG,21,3769,179
17,Netherlands,26,4618,178
18,Oman,18,3169,176
19,Namibia,19,2980,157
20,Singapore,20,2835,142
21,Canada,15,1956,130
22,Qatar,23,2982,130
23,Hong Kong,23,2727,119
24,Kenya,12,1389,116
25,Jersey,21,2423,115
26,Kuwait,16,1765,110
27,Italy,10,1100,110
28,Saudi Arabia,9,965,107
29,Denmark,10,975,98
30,Bermuda,13,1202,92
31,Uganda,11,985,90
32,Malaysia,29,2557,88
33,Germany,15,1304,87
34,USA,11,868,79
35,Ghana,10,773,77
36,Botswana,13,934,72
37,Guernsey,12,854,71
38,Austria,8,553,69
39,Nigeria,16,1064,67
40,Romania,6,399,67
41,Norway,8,499,62
42,Spain,13,766,59
43,Sweden,3,168,56
44,Tanzania,3,167,56
45,Cayman Islands,8,430,54
46,Argentina,12,610,51
47,Philippines,5,241,48
48,Bahrain,9,424,47
49,Vanuatu,15,704,47
50,Belize,5,209,42
51,Bulgaria,5,203,41
52,Hungary,4,162,41
53,Malawi,12,476,40
54,Czech Republic,12,430,36
55,Fiji,3,105,35
56,Peru,9,294,33
57,Panama,5,162,32
58,Luxembourg,8,258,32
59,Costa Rica,4,126,32
60,Japan,4,126,32
61,Samoa,7,216,31
62,Mexico,11,320,29
63,Belgium,6,170,28
64,Portugal,7,173,25
65,Finland,9,204,23
66,Thailand,14,297,21
67,South Korea,4,78,20
68,Mozambique,12,173,14
69,Brazil,9,123,14
70,Bhutan,7,88,13
71,Sierra Leone,5,61,12
72,Maldives,14,138,10
73,Chile,9,85,9
74,St Helena,6,55,9
75,Indonesia,4,19,5
76,Myanmar,6,23,4
77,Lesotho,3,0,0
78,Rwanda,3,0,0
79,Swaziland,3,0,0
80,Turkey,5,0,0
81,China,6,0,0
82,Gambia,6,0,0
83,Gibraltar,7,0,0
84,Malta,8,0,0
